Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference,AgeGroup
2,10995,0,7,2,2705,0,117,105,1,0,1,0,2
0,1157,1,1,3,4269,2,136,99,3,0,1,0,3
1,35613,0,3,3,1862,2,298,258,0,0,0,0,0
2,2938,1,4,0,896,2,192,151,2,1,0,0,1
1,3565,0,8,1,4358,0,106,70,0,1,0,0,0
0,20933,0,1,1,4052,2,261,205,1,1,0,0,0
1,22664,3,5,0,1313,0,109,210,1,1,1,1,2
2,823,3,6,3,2675,2,215,182,3,1,0,0,0
0,3049,3,9,3,2977,0,68,96,2,0,0,0,0
2,37688,3,1,2,2019,2,54,115,0,1,0,0,3
0,37216,3,9,3,280,2,61,194,3,0,0,0,0
1,13811,3,9,2,2858,2,240,251,2,0,1,0,3
2,28628,1,3,2,134,0,20,162,2,1,1,0,0
0,40914,3,3,0,2146,1,244,235,0,1,0,0,0
0,32102,2,5,3,2967,0,254,96,2,1,0,0,0
0,17241,0,1,0,1680,2,7,114,3,0,0,1,3
0,16437,2,8,0,1039,0,284,201,1,0,0,0,2
1,27134,3,4,0,546,2,232,281,2,0,0,1,2
1,9142,1,4,1,3459,0,290,179,2,0,1,0,0
0,9792,0,6,2,1841,0,185,102,0,0,1,0,3
1,19894,3,5,1,1693,0,171,4,2,0,0,0,1
1,2700,0,9,0,2248,0,91,59,3,0,1,0,0
0,8246,0,3,3,1195,2,283,187,1,1,0,0,1
1,5405,2,5,2,3153,1,190,48,2,0,0,0,1
2,37039,1,1,2,3002,0,271,284,1,1,0,0,0
2,33580,0,8,3,2635,0,123,254,1,1,0,0,1
1,6919,1,3,2,4240,2,173,21,1,0,0,0,3
0,10540,2,6,2,4095,1,129,171,0,0,1,0,1
2,4323,3,8,3,1084,0,33,157,3,1,1,0,0
1,1252,2,6,0,1475,2,1,232,0,0,1,1,1
1,16531,1,2,1,3275,0,167,130,2,1,1,0,3
0,17306,3,1,1,4445,1,17,69,1,0,0,1,0
0,16571,1,5,2,110,1,56,52,0,1,1,0,1
1,28191,0,2,1,1047,2,133,270,1,1,1,1,2
0,13301,0,5,2,392,2,45,274,0,1,1,0,2
2,1257,1,6,3,958,2,80,57,0,0,1,0,2
2,17778,0,3,0,3552,0,150,84,2,0,0,0,1
1,223,2,4,2,4331,2,19,198,0,1,0,0,2
1,36566,1,0,0,1717,1,170,17,1,1,0,0,2
0,4709,3,0,2,1054,1,240,90,0,0,0,0,2
2,28557,1,7,3,2619,1,286,200,3,0,0,0,0
0,23417,3,5,0,1304,2,68,79,3,0,1,1,1
1,9383,1,0,1,4018,1,156,249,3,1,1,1,1
1,21230,1,4,0,2011,1,76,25,0,1,0,0,1
1,16338,1,4,2,515,0,164,147,3,1,0,0,1
1,39410,0,7,2,2863,0,69,57,2,0,0,0,2
1,17143,1,0,3,3817,2,250,50,0,1,0,0,2
1,26795,3,0,3,686,2,213,108,1,0,0,0,3
0,1761,1,0,3,1398,2,1,151,0,0,0,0,0
0,32843,0,6,2,596,0,249,124,1,0,0,0,0
0,36787,2,3,1,1133,0,222,280,0,0,0,1,2
2,19346,0,6,0,3063,1,212,73,0,1,1,0,2
0,40887,0,9,3,3025,0,259,198,3,0,1,0,3
1,5618,3,4,0,23,2,151,78,2,1,1,0,2
0,13877,1,6,2,1704,0,52,231,2,0,1,0,0
0,14105,2,4,0,190,1,15,27,0,1,0,1,0
2,31963,2,3,1,3567,2,159,72,2,0,1,0,2
1,21415,2,6,3,2943,0,20,60,2,1,1,0,1
2,31495,0,5,0,1633,2,223,47,3,0,1,0,2
2,8131,3,3,3,2279,2,289,223,2,0,0,0,2
2,23482,2,0,0,1505,1,263,220,3,0,1,0,3
0,36833,0,6,2,1841,0,8,216,0,0,1,0,0
1,37607,0,7,0,637,0,43,239,1,1,1,1,1
1,25440,3,4,2,3188,1,161,265,3,0,0,0,1
2,23935,0,9,1,2493,2,270,215,0,0,0,0,1
1,24512,1,8,0,1267,1,158,109,1,1,0,0,0
1,10729,0,7,1,3771,0,74,237,3,0,0,1,0
2,24658,3,1,1,2653,0,251,68,3,1,1,0,2
0,16188,0,6,1,3362,0,287,197,2,0,1,0,0
2,32018,0,7,0,1425,2,248,201,3,1,0,0,1
2,19304,0,3,1,3409,1,266,104,2,0,0,0,0
0,22432,2,0,2,915,2,26,1,2,0,0,0,0
0,21079,1,0,1,620,2,52,297,0,1,0,1,0
0,38607,2,4,1,641,1,260,143,2,0,0,0,2
0,14530,0,7,0,1325,0,191,203,2,1,1,1,1
2,28812,0,3,1,858,1,264,226,0,0,1,0,3
0,7108,0,0,1,2824,2,5,230,1,1,1,1,2
1,34453,3,2,0,555,1,35,55,3,0,1,1,2
2,10045,1,2,2,3918,2,133,7,3,1,0,0,3
2,28076,2,8,2,3805,0,266,10,2,1,1,0,3
0,14660,1,3,0,271,1,95,265,3,1,0,1,2
0,22024,0,3,1,451,0,210,76,1,0,0,0,1
1,37715,3,3,0,1626,1,55,258,3,1,0,1,2
0,37059,1,4,0,358,2,113,58,1,0,1,0,2
2,7823,3,6,3,1740,0,10,237,0,0,1,0,0
0,8983,1,3,1,767,1,45,184,1,0,0,1,2
1,15109,0,6,2,2544,1,25,276,0,0,1,0,3
2,6219,2,4,1,2276,0,275,285,2,0,1,1,0
2,22222,3,3,0,4241,2,266,247,2,0,0,0,2
0,17030,1,7,3,257,0,81,296,3,1,1,0,2
1,21331,0,7,2,4448,0,52,180,1,0,1,0,2
1,32305,0,8,0,2050,2,43,144,2,1,0,1,1
0,33831,2,3,0,1330,2,85,111,2,1,1,1,2
2,14588,1,3,3,2383,0,260,53,0,0,0,0,1
2,10618,2,6,0,2932,0,234,62,0,0,1,0,3
2,24225,1,5,3,3975,2,165,190,2,0,1,0,0
0,9843,0,3,1,2247,0,215,236,2,1,1,1,0
2,36927,3,1,1,2926,2,143,100,1,0,0,0,1
2,1153,1,1,1,1168,0,235,92,2,1,0,0,2
0,82,2,3,0,3328,1,153,253,2,1,0,1,3
2,4886,0,5,1,1239,1,36,56,3,0,0,1,1
0,231,2,5,0,3187,1,194,201,3,1,0,1,0
1,1051,3,9,2,2795,0,285,141,3,1,1,0,0
1,27688,2,5,2,3038,1,201,237,3,0,1,0,3
0,25493,3,9,3,1226,2,155,189,3,0,0,0,3
0,40281,3,0,1,2363,1,49,285,0,0,1,1,0
0,30129,0,4,0,1230,0,84,274,2,0,1,1,2
2,7927,0,4,1,1591,2,159,12,3,1,1,0,1
2,29021,3,9,0,3573,1,23,56,3,0,0,1,0
0,847,0,6,1,1631,2,87,242,2,1,0,1,0
0,26231,3,7,2,464,0,44,66,1,1,0,0,2
2,11210,0,7,3,2381,0,295,58,2,0,1,0,2
2,18193,3,8,3,1242,0,6,168,3,0,0,0,1
0,36696,3,6,3,2863,1,196,244,0,1,0,0,0
2,14934,0,7,2,1678,2,193,110,3,1,1,0,3
2,36857,1,7,0,2566,0,108,196,1,0,0,1,1
1,30905,0,3,3,3982,0,295,158,1,0,1,0,2
0,34870,0,3,0,3167,1,161,278,3,0,0,1,1
0,30439,2,6,3,795,0,8,227,1,1,1,0,2
2,27433,0,1,3,2159,0,6,167,2,1,0,0,1
1,22432,3,9,0,848,0,190,134,1,0,0,0,1
0,18925,1,6,2,353,0,246,283,1,1,1,0,0
0,17145,0,8,3,241,1,37,149,0,0,0,0,1
2,26461,3,5,0,1167,1,80,167,2,1,1,1,2
0,2410,0,0,2,1823,1,123,38,1,1,0,0,2
2,7877,3,6,0,2963,1,265,287,0,0,1,1,3
1,27215,3,1,2,1339,1,115,145,2,1,1,0,2
1,14359,1,6,3,3679,1,260,74,3,1,1,0,3
0,17908,2,8,1,1979,0,182,159,2,1,1,0,0
2,23865,1,2,2,3708,1,220,92,2,1,0,0,0
1,14490,1,4,3,2771,2,240,268,1,1,0,0,2
0,19437,2,7,3,3718,1,206,182,0,1,0,0,2
0,33968,3,1,0,1578,1,148,19,1,1,0,0,0
0,15542,3,8,0,4413,2,104,157,2,0,0,1,2
2,11013,3,8,1,272,0,277,26,3,0,1,0,3
2,29764,0,5,0,3171,0,64,53,2,0,0,0,3
1,37257,0,2,0,297,1,84,261,1,1,0,1,3
2,22745,0,7,2,2917,1,203,7,2,0,0,0,3
2,8886,1,5,3,3280,1,47,162,0,1,1,0,1
0,27364,3,3,0,1408,1,207,272,0,0,0,1,2
0,16778,3,0,2,804,1,290,295,0,1,1,0,1
1,8103,0,8,0,805,0,83,253,0,1,1,1,1
0,32543,1,7,3,847,2,98,243,2,1,1,0,3
0,37790,1,9,3,3310,0,84,185,1,1,0,0,2
0,20218,2,7,3,1234,2,208,227,3,1,1,0,3
2,20123,1,1,2,1620,0,243,18,1,1,0,0,0
0,8123,2,2,2,3711,0,111,68,0,1,1,0,3
1,12915,1,3,1,3030,1,174,286,3,0,0,1,1
1,25792,2,1,0,3531,0,68,216,3,0,0,1,1
0,20271,1,1,3,2238,2,44,261,1,0,1,0,0
0,8120,2,7,1,2635,0,224,262,0,0,0,1,0
1,12455,2,3,3,1829,0,4,144,3,1,1,0,2
2,33345,1,4,0,4092,1,268,44,1,0,0,0,2
0,8872,2,2,2,3057,2,123,141,1,1,0,0,2
1,10446,1,0,2,4454,0,60,116,2,0,0,0,1
2,8251,2,4,2,2117,0,67,165,1,1,0,0,0
1,8232,2,7,2,2867,2,265,103,3,0,0,0,1
2,20015,0,6,1,2275,2,32,133,3,1,0,1,3
1,23972,3,0,1,3563,1,49,191,3,1,0,1,0
1,31870,0,2,1,4429,1,147,173,3,1,1,1,2
2,26011,3,6,1,1900,1,122,178,1,1,0,1,1
0,15344,1,0,2,2642,0,271,164,0,1,0,0,2
1,15436,3,9,0,849,0,10,266,2,0,1,1,1
0,28016,3,0,2,3729,2,147,124,3,1,1,0,1
1,31144,2,6,0,2599,0,138,3,1,1,1,0,0
2,26887,3,7,2,2470,0,79,45,0,0,0,0,2
0,20860,1,4,3,2005,1,144,59,2,1,1,0,0
2,32726,1,8,2,2043,1,97,143,3,1,1,0,1
2,6693,0,7,3,1612,0,215,269,2,0,0,0,3
0,829,3,7,3,63,2,48,146,2,1,0,0,2
0,28911,1,4,2,3479,0,110,7,0,1,0,0,1
0,25371,1,2,2,3124,2,198,89,0,0,1,0,0
2,40586,0,9,3,2342,0,61,217,3,0,0,0,1
2,6116,0,7,3,803,2,118,279,1,1,0,0,3
2,5249,0,7,1,3521,0,56,152,3,0,1,1,0
0,7438,2,1,3,2462,2,287,232,2,0,0,0,2
1,25882,2,9,0,3600,1,148,187,3,0,1,1,1
0,21498,2,1,1,1376,0,102,264,3,0,1,1,1
1,31321,0,6,2,55,0,80,121,2,0,0,0,0
2,14827,1,6,2,3982,2,27,242,0,0,0,0,2
1,11851,0,0,0,3106,0,78,99,0,1,1,1,1
0,14795,0,8,2,831,1,161,200,2,0,0,0,0
0,36496,1,3,3,890,2,123,46,2,0,0,0,2
0,15108,0,8,0,3934,0,267,284,0,0,1,1,0
1,11672,0,5,2,1317,2,170,231,3,1,1,0,0
0,29045,0,5,2,4365,2,205,172,0,1,1,0,1
1,34694,0,9,0,2159,2,291,4,0,0,1,0,0
2,27390,2,7,1,1903,0,261,103,0,0,1,0,0
1,9141,1,7,2,2027,2,273,159,2,1,0,0,2
2,3581,3,4,1,2945,0,223,186,1,1,1,0,1
1,36305,0,7,1,2035,1,72,124,1,0,0,1,3
2,28016,2,5,0,1144,0,51,52,1,1,1,1,2
0,16418,2,0,1,2083,0,268,161,3,0,1,0,2
1,22074,1,4,3,3506,2,29,35,1,1,0,0,2
2,34719,1,6,1,4311,1,176,206,3,1,0,1,2
0,33495,0,3,0,2936,1,275,14,2,0,0,0,0
0,18560,2,9,3,3775,1,6,84,0,1,0,0,2
2,6934,0,9,3,1890,2,261,71,0,0,0,0,1
2,33971,1,7,3,2219,1,243,242,0,0,1,0,1
1,38704,3,7,1,4430,0,149,294,1,0,0,1,0
2,20633,2,9,3,3079,0,153,85,1,0,1,0,0
2,10207,2,7,3,3833,1,43,182,3,1,0,0,3
0,36772,3,7,2,3887,2,76,235,1,1,1,0,0
2,36463,3,7,2,4477,0,176,186,1,1,0,0,2
2,33857,3,7,1,1232,2,189,191,2,1,0,1,2
2,17287,1,2,1,2929,1,152,3,2,0,1,0,2
0,34251,1,0,2,4455,0,98,232,2,1,0,0,2
0,39742,2,9,0,3353,2,162,1,3,0,1,0,1
0,4109,1,0,3,2118,2,262,236,1,1,1,0,0
0,1655,3,7,0,1673,2,146,82,3,0,1,0,0
1,24231,1,2,0,4308,2,242,91,0,0,1,0,3
0,25366,0,6,3,3995,2,288,97,2,0,1,0,3
0,25438,0,9,0,2318,0,214,170,0,0,1,0,3
1,38193,2,3,1,1263,2,7,98,0,1,1,1,1
1,11201,0,5,1,1284,0,208,233,2,1,1,1,1
1,26827,1,6,1,2605,0,242,10,1,1,0,0,3
2,15652,3,0,2,1485,2,140,38,2,0,1,0,1
0,5518,0,0,2,3886,1,186,177,0,1,0,0,1
2,30606,1,7,1,4022,1,266,230,3,0,0,0,2
1,25141,3,6,2,9,1,287,2,2,1,1,0,2
1,10831,2,2,0,2878,0,0,249,3,0,1,1,1
1,11087,3,9,0,1093,2,220,129,2,1,0,0,2
1,12186,0,7,2,214,2,211,12,2,1,0,0,2
2,34897,3,9,2,1945,1,225,56,2,0,0,0,0
1,23485,2,2,3,1079,0,149,252,3,0,0,0,3
0,8257,3,1,2,3773,0,258,73,0,0,1,0,0
0,40755,1,1,0,593,0,170,183,1,1,1,1,1
0,28073,0,6,3,3688,0,29,58,0,0,0,0,0
2,7420,2,2,1,680,0,265,78,1,0,0,0,0
1,3251,0,0,3,3791,1,164,111,3,0,0,0,2
2,3880,1,5,0,3095,0,154,113,1,1,0,0,0
0,35056,0,8,1,567,1,259,264,2,0,1,1,3
1,12859,0,3,0,3202,0,234,251,1,1,1,1,1
2,15077,3,8,0,3317,2,51,113,1,0,1,1,3
1,22258,0,0,1,4277,2,246,295,3,0,0,1,1
1,39019,1,2,2,1835,1,131,150,3,1,0,0,2
2,16611,1,7,3,690,0,205,276,3,1,0,0,2
0,21623,1,7,1,281,0,21,190,3,0,0,1,2
2,15533,2,5,3,4247,0,251,4,2,1,1,0,0
2,1024,2,5,2,1974,0,215,17,3,1,0,0,2
0,27781,1,5,1,4161,0,149,98,3,0,1,0,3
2,19116,0,9,1,4329,1,146,271,2,0,0,1,0
1,37102,3,5,0,2627,1,126,58,0,0,0,0,2
0,38606,3,2,1,2093,0,52,98,2,1,0,1,0
2,29315,2,1,2,1373,1,293,97,3,1,0,0,2
1,8817,3,4,1,3417,1,80,260,2,1,1,1,0
0,9205,1,5,0,2134,1,45,219,0,1,1,1,3
2,22653,2,2,2,1961,0,252,157,0,1,0,0,0
0,11560,0,7,3,1156,2,18,169,0,1,1,0,1
1,40034,0,6,3,928,0,108,255,0,0,0,0,2
1,9194,3,3,1,1,2,270,167,1,1,1,0,0
0,2483,2,0,2,900,1,246,248,2,1,1,0,2
1,28187,2,7,0,1256,2,231,161,2,1,1,0,2
1,4534,2,0,1,2807,2,232,67,0,1,0,0,2
0,35805,2,4,1,4017,0,219,106,1,1,1,0,1
0,964,3,4,0,4375,2,146,118,3,1,0,0,2
2,24203,2,6,0,2581,0,175,260,0,1,1,1,0
2,40499,1,1,2,4302,1,228,7,1,0,0,0,0
0,34560,2,4,2,2450,0,104,50,2,0,1,0,3
1,5451,2,7,2,1388,1,251,214,1,1,0,0,0
1,9762,2,4,1,598,2,186,244,2,0,0,1,1
0,36709,0,9,3,1630,1,214,178,3,0,1,0,1
0,8648,0,4,0,1010,0,250,123,3,0,1,0,1
0,27826,2,4,1,136,2,85,36,0,1,0,0,0
1,25407,1,9,2,2229,2,77,161,1,0,0,0,2
2,33010,0,7,0,3525,1,21,58,2,0,0,1,3
2,6338,3,6,0,846,2,84,278,0,0,0,1,1
1,36681,2,3,1,2544,0,134,153,3,0,1,1,3
2,13300,1,7,1,4003,1,51,161,3,1,1,1,0
0,21399,1,2,3,3868,2,136,70,1,0,1,0,0
0,12484,3,9,0,3095,2,178,217,0,1,0,1,3
1,10608,3,5,1,1852,0,35,244,1,1,1,1,2
1,13348,1,3,3,1900,2,155,171,2,1,1,0,2
0,16589,0,1,2,2079,2,232,177,3,1,0,0,2
0,24826,0,0,2,4235,1,58,201,1,1,0,0,3
1,4249,1,8,3,1206,1,265,293,2,1,1,0,3
1,9279,0,3,0,1880,1,296,28,3,0,0,0,1
0,33890,2,8,0,189,1,245,151,2,1,1,0,0
0,34627,3,6,0,2654,0,293,148,0,1,0,0,0
2,7909,3,0,3,3895,2,113,281,2,0,0,0,2
2,9769,0,9,0,1553,0,220,8,1,1,0,0,0
0,479,0,4,0,1198,2,297,125,2,0,0,0,2
1,8448,2,5,2,410,2,252,289,2,1,1,0,2
2,23036,2,7,2,1923,0,292,59,0,0,0,0,0
2,15818,1,5,0,1759,1,144,213,1,0,1,1,3
0,21730,0,7,3,2127,0,27,259,1,1,1,0,2
1,35583,0,0,2,1451,2,198,175,2,1,0,0,1
1,15780,0,2,1,2757,2,208,91,3,0,0,0,3
0,38491,3,0,2,1135,2,76,9,2,0,1,0,0
1,1178,2,8,3,1802,1,17,69,2,0,1,0,1
0,38609,3,4,2,3074,1,222,66,1,1,0,0,2
1,20839,0,2,0,880,0,296,228,2,1,0,0,3
0,6224,1,1,1,533,2,11,14,3,1,0,1,0
1,6044,2,6,0,2515,2,14,33,0,0,1,1,3
0,6417,0,1,3,386,0,11,251,0,0,0,0,0
0,33987,3,2,0,3904,0,253,299,1,1,0,1,2
1,23596,2,5,2,2340,0,33,230,2,0,1,0,2
0,16414,2,3,0,2352,1,8,70,3,1,1,1,3
2,25073,0,7,0,1694,1,148,195,2,0,1,1,1
1,11877,1,6,2,3024,2,239,266,0,1,1,0,2
0,6657,0,6,3,3263,1,5,297,2,1,0,0,2
1,13264,3,2,1,2677,1,89,262,3,1,0,1,2
1,24642,3,7,2,1824,0,243,135,2,0,0,0,0
0,40725,3,7,1,270,2,152,298,1,1,1,1,2
2,36274,1,7,2,1762,1,286,93,0,0,1,0,3
1,1168,2,3,2,1161,2,53,161,2,0,1,0,3
2,28983,0,2,2,1072,0,58,43,3,1,1,0,2
2,40382,2,2,0,879,0,201,98,3,0,1,0,2
0,40969,2,2,0,2523,2,45,210,0,0,1,1,2
0,35206,2,4,1,4255,2,279,37,1,1,0,0,3
1,40846,2,4,3,2355,2,225,240,3,0,0,0,0
0,19366,1,8,3,3779,2,13,16,0,1,0,0,2
1,25580,3,0,1,3194,0,127,207,1,1,0,1,0
1,39188,3,0,0,2613,2,35,191,3,1,0,1,2
2,11031,1,4,0,1882,2,232,228,3,0,1,0,1
0,11363,1,1,3,1028,0,128,161,2,1,0,0,0
0,40436,0,5,1,3529,0,204,100,1,0,1,0,0
1,7737,1,2,2,1833,1,275,283,1,1,1,0,2
2,29196,0,3,0,1048,0,225,221,0,0,1,0,2
0,11743,0,3,1,3476,1,26,63,1,0,1,1,1
2,17990,1,5,0,3687,1,265,284,0,0,1,1,2
2,2794,3,4,1,3642,1,277,283,3,1,0,1,3
1,11456,1,9,3,3714,2,218,290,0,0,0,0,0
0,11321,2,1,0,3518,2,239,189,1,1,0,0,3
0,35598,2,3,2,2328,1,110,281,2,1,0,0,2
0,32242,2,4,2,1288,1,118,35,0,1,0,0,3
2,22711,0,4,3,3138,2,101,57,0,1,0,0,0
0,15360,0,9,2,4034,1,229,165,0,1,0,0,0
1,29311,2,1,2,143,1,66,65,3,1,1,0,1
2,37074,2,0,2,674,1,152,253,1,0,0,0,0
0,3204,1,6,3,2598,1,50,118,1,1,1,0,2
2,10102,1,2,1,3614,0,41,193,0,0,1,1,1
2,3937,1,4,0,1099,1,238,71,1,0,1,0,0
2,12264,1,8,1,3129,2,296,247,0,1,1,0,0
1,20198,0,1,1,3787,0,57,158,1,0,1,1,2
0,23439,3,7,1,3541,2,118,134,0,1,1,1,2
0,20441,1,4,2,3831,0,241,258,3,0,0,0,1
2,3238,0,6,0,4115,2,139,249,2,1,0,1,2
0,30482,0,6,1,3146,2,274,203,1,0,0,0,3
2,24549,1,3,0,653,0,230,169,1,0,1,0,2
2,37926,2,6,3,3096,0,188,141,2,1,1,0,2
2,23004,2,5,3,861,0,214,288,1,0,0,0,2
1,22214,2,8,3,3773,2,252,156,1,1,1,0,0
0,34533,0,9,2,4090,2,246,223,3,0,1,0,2
2,29802,2,3,3,4149,0,223,171,1,0,1,0,3
0,32182,0,5,2,3935,0,93,208,3,1,1,0,0
1,20993,3,3,1,3395,1,10,214,0,0,1,1,0
1,15199,1,8,1,4406,1,118,203,0,1,0,1,1
2,23805,0,9,1,416,1,295,46,3,1,1,0,1
1,23647,2,0,0,1826,0,277,135,2,1,0,0,2
1,38101,1,1,3,2688,0,111,110,3,0,0,0,3
1,16361,2,7,0,1704,2,20,64,3,1,1,1,0
1,29436,3,4,3,1245,1,227,271,1,0,1,0,1
1,14610,2,5,3,2592,1,215,264,1,1,1,0,1
1,34917,1,5,1,4261,1,236,5,1,1,0,0,3
0,1179,2,0,3,4144,0,183,156,2,0,0,0,0
1,9982,3,6,2,2703,0,152,222,1,1,0,0,0
0,12983,1,1,2,3131,2,261,77,0,1,0,0,1
2,22969,3,6,2,2054,1,60,231,1,0,1,0,3
1,20054,1,9,0,1282,0,80,79,1,0,0,0,0
1,33882,0,4,2,509,0,263,293,1,1,0,0,0
0,40785,1,3,0,3678,1,286,141,2,1,0,0,0
1,6811,2,8,1,2678,0,247,4,0,1,1,0,2
0,18304,1,8,3,4019,1,153,265,3,0,1,0,1
0,37771,2,5,2,3202,1,93,111,0,0,0,0,2
1,34890,1,0,2,1857,1,130,223,3,0,0,0,0
2,10319,3,0,3,1276,1,288,160,0,0,1,0,0
2,24039,2,9,1,1856,1,281,67,2,1,1,0,3
2,23048,2,1,3,846,0,106,146,2,1,1,0,0
0,12612,2,1,2,3577,2,226,220,2,1,1,0,0
0,36939,2,9,2,2964,0,292,35,1,1,1,0,0
1,34121,0,7,2,3407,0,143,279,2,0,0,0,3
0,12759,3,2,1,2196,1,210,103,2,1,0,0,3
2,32556,2,0,1,3247,0,271,221,0,0,1,0,2
1,40395,1,5,1,1391,0,274,49,0,1,1,0,1
2,40827,2,7,2,2577,2,33,201,1,1,1,0,0
1,27312,2,5,2,307,1,38,185,3,0,1,0,2
2,9794,3,3,3,3844,1,270,105,1,1,0,0,2
1,34990,3,8,1,1666,0,230,213,1,1,1,0,2
2,23613,2,9,1,3546,0,226,122,0,0,1,0,1
0,18124,0,7,2,704,2,148,237,2,1,1,0,3
2,40675,0,0,1,977,1,70,296,2,0,1,1,3
